Node,Skill,Tier,AgeBand,PromptStyle,VisualApproach,Status
Sound Awareness,Long vs Short,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Long vs Short,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Long vs Short,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Long vs Short,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Long vs Short,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Long vs Short,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Long vs Short,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Long vs Short,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Long vs Short,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Long vs Short,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Long vs Short,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Long vs Short,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Silence vs Sound,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Silence vs Sound,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Silence vs Sound,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Silence vs Sound,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Silence vs Sound,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Silence vs Sound,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Silence vs Sound,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Silence vs Sound,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Silence vs Sound,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Silence vs Sound,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Silence vs Sound,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Silence vs Sound,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Same vs Different,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Same vs Different,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Same vs Different,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Same vs Different,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Same vs Different,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Same vs Different,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Same vs Different,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Same vs Different,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Same vs Different,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Same vs Different,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Same vs Different,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Same vs Different,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Attack vs Smooth Beginning,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Attack vs Smooth Beginning,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Attack vs Smooth Beginning,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Attack vs Smooth Beginning,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Attack vs Smooth Beginning,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Attack vs Smooth Beginning,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Attack vs Smooth Beginning,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Attack vs Smooth Beginning,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Attack vs Smooth Beginning,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Attack vs Smooth Beginning,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Attack vs Smooth Beginning,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Attack vs Smooth Beginning,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Sustain vs Short Burst,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Sustain vs Short Burst,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Sustain vs Short Burst,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Sustain vs Short Burst,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Sustain vs Short Burst,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Sustain vs Short Burst,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Sustain vs Short Burst,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Sustain vs Short Burst,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Sustain vs Short Burst,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Sustain vs Short Burst,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Sustain vs Short Burst,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Sustain vs Short Burst,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Release Awareness,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Release Awareness,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Release Awareness,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Release Awareness,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Release Awareness,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Release Awareness,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Release Awareness,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Release Awareness,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Release Awareness,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Release Awareness,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Release Awareness,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Release Awareness,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Higher vs Lower,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Higher vs Lower,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Higher vs Lower,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Higher vs Lower,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Higher vs Lower,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Higher vs Lower,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Higher vs Lower,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Higher vs Lower,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Higher vs Lower,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Higher vs Lower,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Higher vs Lower,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Higher vs Lower,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Same Note Match,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Same Note Match,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Same Note Match,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Same Note Match,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Same Note Match,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Same Note Match,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Same Note Match,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Same Note Match,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Same Note Match,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Same Note Match,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Same Note Match,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Same Note Match,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Pitch Memory,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Pitch Memory,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Pitch Memory,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Pitch Memory,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Pitch Memory,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Pitch Memory,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Pitch Memory,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Pitch Memory,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Pitch Memory,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Pitch Memory,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Pitch Memory,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Pitch Memory,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Small vs Big Interval Feel,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Small vs Big Interval Feel,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Small vs Big Interval Feel,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Small vs Big Interval Feel,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Small vs Big Interval Feel,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Small vs Big Interval Feel,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Small vs Big Interval Feel,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Small vs Big Interval Feel,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Small vs Big Interval Feel,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Small vs Big Interval Feel,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Small vs Big Interval Feel,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Small vs Big Interval Feel,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Near vs Far Pitch Comparison,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Near vs Far Pitch Comparison,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Near vs Far Pitch Comparison,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Near vs Far Pitch Comparison,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Near vs Far Pitch Comparison,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Near vs Far Pitch Comparison,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Near vs Far Pitch Comparison,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Near vs Far Pitch Comparison,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Near vs Far Pitch Comparison,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Near vs Far Pitch Comparison,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Near vs Far Pitch Comparison,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Pitch Awareness,Near vs Far Pitch Comparison,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Ascending vs Descending,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Ascending vs Descending,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Ascending vs Descending,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Ascending vs Descending,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Ascending vs Descending,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Contour & Shape,Ascending vs Descending,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
